Country,Value
ISL,3322.639164
NOR,3474.64687
SWE,1725.996403
BRA,2055.251371
NZL,2011.974682
DNK,419.166236
AUT,1517.443441
CHE,1569.686611
FIN,929.9100342
COL,1391.105362
PRT,967.5928712
ECU,839.6431279
CAN,1462.54912
VEN,908.8295507
HRV,612.0465593
PER,1332.973565
CHL,1135.111275
LVA,673.8333197
VNM,737.38322
ESP,581.5271339
IRL,229.5624995
ROU,453.6007082
TUR,585.4798284
CHN,303.4299102
FRA,421.8727031
AUS,263.6326935
NLD,85.51249809
BGR,219.9626534
GBR,153.0043521
JPN,308.3393273
ARG,503.6032753
USA,269.6072891
PAK,707.1848445
IND,454.3652596
IRN,127.0051931
SGP,8.298651002
SAU,0.076526111
ZAF,34.88909476
ISR,17.10238325
EGY,436.1690986
HUN,62.1147942
LUX,300.4351344
THA,238.0181062
POL,90.56202284
MAR,254.1893635
