word,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ab,0,0,0.005821791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ababa,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003727464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005291348,0,0.01674199,0,0.005495071,0.005342065,0.005534535,0.010772516
abadi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009165138,0,0,0,0,0,0
abandon,0,0.002465365,0,0,0.004955716,0,0,0.004531474,0,0.002861872,0.002024627,0.004845506,0.009296485,0,0.0020024,0.005979288,0.002318738,0,0.002374411,0.002862659,0,0.002447874,0,0.002314323,0,0.002427331,0.002537994,0,0,0,0,0,0,0,0,0.004042293,0,0.003877124,0,0.004150867,0,0,0,0,0,0.003528477,0,0,0.003377618,0,0.00340556
abandoned,0,0,0,0,0.00336568,0,0,0.003077556,0.003178318,0,0.002750055,0,0.00315686,0,0.002719864,0,0,0,0.006450337,0,0.011896654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005638134,0,0.005053815,0,0,0,0,0,0,0,0,0.004625781
abandoning,0,0.003739317,0,0,0,0,0,0.003436533,0,0,0,0,0,0,0.003037119,0,0,0.003425982,0,0,0.004428107,0.003712787,0,0,0,0,0,0,0,0,0,0,0.005610748,0,0,0,0,0,0,0.006295785,0,0,0,0,0,0,0,0,0,0,0
abandonment,0,0,0,0,0,0,0,0.003583505,0,0,0.006404327,0,0,0,0.003167009,0,0,0,0,0.009055204,0,0,0,0,0.004018586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005342065,0,0.005386258
abate,0,0,0,0,0,0.005831844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abating,0,0,0,0,0,0,0,0.004807408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005150276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005490657,0.009527436,0.021065226,0.00498824,0.005638134,0.008450562,0.015161444,0.010058283,0.004544271,0,0,0,0.004719231,0.004587828,0,0
abdelaziz,0,0,0,0,0,0.005276523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007894495,0,0,0,0,0,0,0,0,0
abdication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005150276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007166583,0,0
abducted,0,0,0,0,0,0,0,0,0,0,0,0.004756709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007673206,0,0.006675918,0,0,0,0
abdulaziz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007894495,0.007855953,0,0,0,0,0,0,0,0
abdullah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008725341,0,0,0,0,0,0,0,0,0
abdussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008807251,0.006600253,0,0,0,0,0,0,0,0,0,0
